Statistical profiling result from log-v8-nodegub.log, (1557 ticks, 26 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.1%    0.1%  t ___pfz_setup
      1    0.1%    0.1%  t _Builtins_TypedArrayConstructor
      1    0.1%    0.1%  t _Builtins_ToString
      1    0.1%    0.1%  t _Builtins_ThrowReferenceErrorIfHoleHandler
      1    0.1%    0.1%  t _Builtins_TestEqualStrictHandler
      1    0.1%    0.1%  t _Builtins_StringPrototypeCharCodeAt
      1    0.1%    0.1%  t _Builtins_StringAdd_CheckNone
      1    0.1%    0.1%  t _Builtins_StoreFastElementIC_Standard
      1    0.1%    0.1%  t _Builtins_SetPrototypeAdd
      1    0.1%    0.1%  t _Builtins_RegExpPrototypeExec
      1    0.1%    0.1%  t _Builtins_RecordWriteEmitRememberedSetSaveFP
      1    0.1%    0.1%  t _Builtins_PromiseConstructor
      1    0.1%    0.1%  t _Builtins_ObjectSetPrototypeOf
      1    0.1%    0.1%  t _Builtins_ObjectPrototypeToString
      1    0.1%    0.1%  t _Builtins_ObjectPrototypeHasOwnProperty
      1    0.1%    0.1%  t _Builtins_NumberIsFinite
      1    0.1%    0.1%  t _Builtins_MultiplySmi_Baseline
      1    0.1%    0.1%  t _Builtins_LoadIC_NoFeedback
      1    0.1%    0.1%  t _Builtins_LoadICTrampoline_Megamorphic
      1    0.1%    0.1%  t _Builtins_LessThanOrEqual_Baseline
      1    0.1%    0.1%  t _Builtins_KeyedLoadICBaseline
      1    0.1%    0.1%  t _Builtins_JumpIfFalseHandler
      1    0.1%    0.1%  t _Builtins_JSEntry
      1    0.1%    0.1%  t _Builtins_JSBuiltinsConstructStub
      1    0.1%    0.1%  t _Builtins_InterpreterEntryTrampoline
      1    0.1%    0.1%  t _Builtins_GreaterThan_Baseline
      1    0.1%    0.1%  t _Builtins_GetPropertyWithReceiver
      1    0.1%    0.1%  t _Builtins_GetNamedPropertyHandler
      1    0.1%    0.1%  t _Builtins_GetIteratorBaseline
      1    0.1%    0.1%  t _Builtins_FunctionPrototypeHasInstance
      1    0.1%    0.1%  t _Builtins_FindOrderedHashMapEntry
      1    0.1%    0.1%  t _Builtins_DefineNamedOwnIC
      1    0.1%    0.1%  t _Builtins_CreateFunctionContextHandler
      1    0.1%    0.1%  t _Builtins_CreateDataProperty
      1    0.1%    0.1%  t _Builtins_CopyDataProperties
      1    0.1%    0.1%  t _Builtins_Construct_Baseline
      1    0.1%    0.1%  t _Builtins_CallPropertyHandler
      1    0.1%    0.1%  t _Builtins_CallIteratorWithFeedback
      1    0.1%    0.1%  t _Builtins_CallBoundFunction
      1    0.1%    0.1%  t _Builtins_CEntry_Return1_DontSaveFPRegs_ArgvOnStack_NoBuiltinExit
